"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"t5.title","Table 5a. HIV-PrEP Sorting - Casual Partners","","","","","","","",""
"t5.colname.a","","","","Partners","","","","",""
"t5.colname.b","","Total, dyad-level","","No PrEP","","PrEP","","PrEP unknown",""
"t5.colname.c","Respondents","N","Column %","N","Row %","N","Row %","N","Row %"
"","Whole Sample","","","","","","","",""
"","No PrEP","2024","68.5","778","38.4","265","13.1","981","48.5"
"","PrEP","929","31.5","228","24.5","291","31.3","410","44.1"
"","Total","2953","100","1006","34.1","556","18.8","1391","47.1"
"","Complete-case","","","","","","","",""
"","No PrEP","951","66.3","692","72.8","259","27.2","",""
"","PrEP","484","33.7","203","41.9","281","58.1","",""
"","Total","1435","100","895","62.4","540","37.6","",""
"","Reclassification","","","","","","","",""
"","No PrEP","","","","","","","",""
"","Median","2399","72.7","2016","84","384","16","",""
"","95% interval","(2370, 2425)","(72.3, 73.2)","(1959, 2082)","(81.8, 86.2)","(327, 438)","(13.8, 18.2)","",""
"","PrEP","","","","","","","",""
"","Median","901","27.3","575","63.7","327","36.3","",""
"","95% interval","(872, 926)","(26.8, 27.7)","(535, 617)","(60.1, 68.2)","(285, 361)","(31.8, 39.9)","",""
"","Total","","","","","","","",""
"","Median","3299","100","2590","78.5","710","21.5","",""
"","95% interval","(3246, 3350)","(1, 1)","(2497, 2703)","(76, 81.3)","(616, 794)","(18.7, 24)","",""
